sample_id,dataset,label,original_sample_id,split
medhallu_1048::hallucinated,medhallu,1,medhallu_1048,train
medhallu_1048::factual,medhallu,0,medhallu_1048,train
medhallu_1049::hallucinated,medhallu,1,medhallu_1049,test
medhallu_1049::factual,medhallu,0,medhallu_1049,test
medhallu_105::hallucinated,medhallu,1,medhallu_105,train
medhallu_105::factual,medhallu,0,medhallu_105,train
medhallu_1050::hallucinated,medhallu,1,medhallu_1050,test
medhallu_1050::factual,medhallu,0,medhallu_1050,test
medhallu_1051::hallucinated,medhallu,1,medhallu_1051,test
medhallu_1051::factual,medhallu,0,medhallu_1051,test
medhallu_1052::hallucinated,medhallu,1,medhallu_1052,dev
medhallu_1052::factual,medhallu,0,medhallu_1052,dev
medhallu_1053::hallucinated,medhallu,1,medhallu_1053,train
medhallu_1053::factual,medhallu,0,medhallu_1053,train
medhallu_1054::hallucinated,medhallu,1,medhallu_1054,train
medhallu_1054::factual,medhallu,0,medhallu_1054,train
medhallu_1055::hallucinated,medhallu,1,medhallu_1055,dev
medhallu_1055::factual,medhallu,0,medhallu_1055,dev
medhallu_1056::hallucinated,medhallu,1,medhallu_1056,test
medhallu_1056::factual,medhallu,0,medhallu_1056,test
medhallu_1057::hallucinated,medhallu,1,medhallu_1057,train
medhallu_1057::factual,medhallu,0,medhallu_1057,train
medhallu_1058::hallucinated,medhallu,1,medhallu_1058,test
medhallu_1058::factual,medhallu,0,medhallu_1058,test
medhallu_1059::hallucinated,medhallu,1,medhallu_1059,dev
medhallu_1059::factual,medhallu,0,medhallu_1059,dev
medhallu_106::hallucinated,medhallu,1,medhallu_106,train
medhallu_106::factual,medhallu,0,medhallu_106,train
medhallu_1060::hallucinated,medhallu,1,medhallu_1060,train
medhallu_1060::factual,medhallu,0,medhallu_1060,train
medhallu_1061::hallucinated,medhallu,1,medhallu_1061,train
medhallu_1061::factual,medhallu,0,medhallu_1061,train
medhallu_1062::hallucinated,medhallu,1,medhallu_1062,test
medhallu_1062::factual,medhallu,0,medhallu_1062,test
medhallu_1063::hallucinated,medhallu,1,medhallu_1063,dev
medhallu_1063::factual,medhallu,0,medhallu_1063,dev
medhallu_1064::hallucinated,medhallu,1,medhallu_1064,train
medhallu_1064::factual,medhallu,0,medhallu_1064,train
medhallu_1065::hallucinated,medhallu,1,medhallu_1065,train
medhallu_1065::factual,medhallu,0,medhallu_1065,train
medhallu_1066::hallucinated,medhallu,1,medhallu_1066,train
medhallu_1066::factual,medhallu,0,medhallu_1066,train
medhallu_1067::hallucinated,medhallu,1,medhallu_1067,train
medhallu_1067::factual,medhallu,0,medhallu_1067,train
medhallu_1068::hallucinated,medhallu,1,medhallu_1068,train
medhallu_1068::factual,medhallu,0,medhallu_1068,train
medhallu_1069::hallucinated,medhallu,1,medhallu_1069,test
medhallu_1069::factual,medhallu,0,medhallu_1069,test
medhallu_107::hallucinated,medhallu,1,medhallu_107,train
medhallu_107::factual,medhallu,0,medhallu_107,train
medhallu_1070::hallucinated,medhallu,1,medhallu_1070,train
medhallu_1070::factual,medhallu,0,medhallu_1070,train
medhallu_1071::hallucinated,medhallu,1,medhallu_1071,test
medhallu_1071::factual,medhallu,0,medhallu_1071,test
medhallu_1072::hallucinated,medhallu,1,medhallu_1072,train
medhallu_1072::factual,medhallu,0,medhallu_1072,train
medhallu_1073::hallucinated,medhallu,1,medhallu_1073,dev
medhallu_1073::factual,medhallu,0,medhallu_1073,dev
medhallu_1074::hallucinated,medhallu,1,medhallu_1074,train
medhallu_1074::factual,medhallu,0,medhallu_1074,train
medhallu_1075::hallucinated,medhallu,1,medhallu_1075,test
medhallu_1075::factual,medhallu,0,medhallu_1075,test
medhallu_1076::hallucinated,medhallu,1,medhallu_1076,train
medhallu_1076::factual,medhallu,0,medhallu_1076,train
medhallu_1077::hallucinated,medhallu,1,medhallu_1077,train
medhallu_1077::factual,medhallu,0,medhallu_1077,train
medhallu_1078::hallucinated,medhallu,1,medhallu_1078,train
medhallu_1078::factual,medhallu,0,medhallu_1078,train
medhallu_1079::hallucinated,medhallu,1,medhallu_1079,dev
medhallu_1079::factual,medhallu,0,medhallu_1079,dev
medhallu_108::hallucinated,medhallu,1,medhallu_108,train
medhallu_108::factual,medhallu,0,medhallu_108,train
medhallu_1080::hallucinated,medhallu,1,medhallu_1080,train
medhallu_1080::factual,medhallu,0,medhallu_1080,train
medhallu_1081::hallucinated,medhallu,1,medhallu_1081,train
medhallu_1081::factual,medhallu,0,medhallu_1081,train
medhallu_1082::hallucinated,medhallu,1,medhallu_1082,train
medhallu_1082::factual,medhallu,0,medhallu_1082,train
medhallu_1083::hallucinated,medhallu,1,medhallu_1083,train
medhallu_1083::factual,medhallu,0,medhallu_1083,train
medhallu_1084::hallucinated,medhallu,1,medhallu_1084,test
medhallu_1084::factual,medhallu,0,medhallu_1084,test
medhallu_1085::hallucinated,medhallu,1,medhallu_1085,train
medhallu_1085::factual,medhallu,0,medhallu_1085,train
medhallu_1086::hallucinated,medhallu,1,medhallu_1086,train
medhallu_1086::factual,medhallu,0,medhallu_1086,train
medhallu_1087::hallucinated,medhallu,1,medhallu_1087,train
medhallu_1087::factual,medhallu,0,medhallu_1087,train
medhallu_1088::hallucinated,medhallu,1,medhallu_1088,train
medhallu_1088::factual,medhallu,0,medhallu_1088,train
medhallu_1089::hallucinated,medhallu,1,medhallu_1089,dev
medhallu_1089::factual,medhallu,0,medhallu_1089,dev
medhallu_109::hallucinated,medhallu,1,medhallu_109,train
medhallu_109::factual,medhallu,0,medhallu_109,train
medhallu_1090::hallucinated,medhallu,1,medhallu_1090,train
medhallu_1090::factual,medhallu,0,medhallu_1090,train
medhallu_1091::hallucinated,medhallu,1,medhallu_1091,train
medhallu_1091::factual,medhallu,0,medhallu_1091,train
medhallu_1092::hallucinated,medhallu,1,medhallu_1092,train
medhallu_1092::factual,medhallu,0,medhallu_1092,train
medhallu_1093::hallucinated,medhallu,1,medhallu_1093,train
medhallu_1093::factual,medhallu,0,medhallu_1093,train
medhallu_1094::hallucinated,medhallu,1,medhallu_1094,train
medhallu_1094::factual,medhallu,0,medhallu_1094,train
medhallu_1095::hallucinated,medhallu,1,medhallu_1095,train
medhallu_1095::factual,medhallu,0,medhallu_1095,train
medhallu_1096::hallucinated,medhallu,1,medhallu_1096,train
medhallu_1096::factual,medhallu,0,medhallu_1096,train
medhallu_1097::hallucinated,medhallu,1,medhallu_1097,test
medhallu_1097::factual,medhallu,0,medhallu_1097,test
medhallu_1098::hallucinated,medhallu,1,medhallu_1098,dev
medhallu_1098::factual,medhallu,0,medhallu_1098,dev
medhallu_1099::hallucinated,medhallu,1,medhallu_1099,train
medhallu_1099::factual,medhallu,0,medhallu_1099,train
medhallu_11::hallucinated,medhallu,1,medhallu_11,train
medhallu_11::factual,medhallu,0,medhallu_11,train
medhallu_110::hallucinated,medhallu,1,medhallu_110,train
medhallu_110::factual,medhallu,0,medhallu_110,train
medhallu_1100::hallucinated,medhallu,1,medhallu_1100,test
medhallu_1100::factual,medhallu,0,medhallu_1100,test
medhallu_1101::hallucinated,medhallu,1,medhallu_1101,train
medhallu_1101::factual,medhallu,0,medhallu_1101,train
medhallu_1102::hallucinated,medhallu,1,medhallu_1102,train
medhallu_1102::factual,medhallu,0,medhallu_1102,train
medhallu_1103::hallucinated,medhallu,1,medhallu_1103,dev
medhallu_1103::factual,medhallu,0,medhallu_1103,dev
medhallu_1104::hallucinated,medhallu,1,medhallu_1104,train
medhallu_1104::factual,medhallu,0,medhallu_1104,train
medhallu_1105::hallucinated,medhallu,1,medhallu_1105,dev
medhallu_1105::factual,medhallu,0,medhallu_1105,dev
medhallu_1106::hallucinated,medhallu,1,medhallu_1106,train
medhallu_1106::factual,medhallu,0,medhallu_1106,train
medhallu_1107::hallucinated,medhallu,1,medhallu_1107,train
medhallu_1107::factual,medhallu,0,medhallu_1107,train
medhallu_1108::hallucinated,medhallu,1,medhallu_1108,train
medhallu_1108::factual,medhallu,0,medhallu_1108,train
medhallu_1109::hallucinated,medhallu,1,medhallu_1109,train
medhallu_1109::factual,medhallu,0,medhallu_1109,train
medhallu_111::hallucinated,medhallu,1,medhallu_111,train
medhallu_111::factual,medhallu,0,medhallu_111,train
medhallu_1110::hallucinated,medhallu,1,medhallu_1110,train
medhallu_1110::factual,medhallu,0,medhallu_1110,train
medhallu_1111::hallucinated,medhallu,1,medhallu_1111,train
medhallu_1111::factual,medhallu,0,medhallu_1111,train
medhallu_1112::hallucinated,medhallu,1,medhallu_1112,train
medhallu_1112::factual,medhallu,0,medhallu_1112,train
medhallu_1113::hallucinated,medhallu,1,medhallu_1113,train
medhallu_1113::factual,medhallu,0,medhallu_1113,train
medhallu_1114::hallucinated,medhallu,1,medhallu_1114,test
medhallu_1114::factual,medhallu,0,medhallu_1114,test
medhallu_1115::hallucinated,medhallu,1,medhallu_1115,train
medhallu_1115::factual,medhallu,0,medhallu_1115,train
medhallu_1116::hallucinated,medhallu,1,medhallu_1116,dev
medhallu_1116::factual,medhallu,0,medhallu_1116,dev
medhallu_1117::hallucinated,medhallu,1,medhallu_1117,dev
medhallu_1117::factual,medhallu,0,medhallu_1117,dev
medhallu_1118::hallucinated,medhallu,1,medhallu_1118,test
medhallu_1118::factual,medhallu,0,medhallu_1118,test
medhallu_1119::hallucinated,medhallu,1,medhallu_1119,train
medhallu_1119::factual,medhallu,0,medhallu_1119,train
medhallu_112::hallucinated,medhallu,1,medhallu_112,train
medhallu_112::factual,medhallu,0,medhallu_112,train
medhallu_1120::hallucinated,medhallu,1,medhallu_1120,train
medhallu_1120::factual,medhallu,0,medhallu_1120,train
medhallu_1121::hallucinated,medhallu,1,medhallu_1121,train
medhallu_1121::factual,medhallu,0,medhallu_1121,train
medhallu_1122::hallucinated,medhallu,1,medhallu_1122,train
medhallu_1122::factual,medhallu,0,medhallu_1122,train
medhallu_1123::hallucinated,medhallu,1,medhallu_1123,train
medhallu_1123::factual,medhallu,0,medhallu_1123,train
medhallu_1124::hallucinated,medhallu,1,medhallu_1124,dev
medhallu_1124::factual,medhallu,0,medhallu_1124,dev
medhallu_1125::hallucinated,medhallu,1,medhallu_1125,train
medhallu_1125::factual,medhallu,0,medhallu_1125,train
medhallu_1126::hallucinated,medhallu,1,medhallu_1126,test
medhallu_1126::factual,medhallu,0,medhallu_1126,test
medhallu_1127::hallucinated,medhallu,1,medhallu_1127,train
medhallu_1127::factual,medhallu,0,medhallu_1127,train
medhallu_1128::hallucinated,medhallu,1,medhallu_1128,train
medhallu_1128::factual,medhallu,0,medhallu_1128,train
medhallu_1129::hallucinated,medhallu,1,medhallu_1129,dev
medhallu_1129::factual,medhallu,0,medhallu_1129,dev
medhallu_113::hallucinated,medhallu,1,medhallu_113,train
medhallu_113::factual,medhallu,0,medhallu_113,train
medhallu_1130::hallucinated,medhallu,1,medhallu_1130,test
medhallu_1130::factual,medhallu,0,medhallu_1130,test
medhallu_1131::hallucinated,medhallu,1,medhallu_1131,train
medhallu_1131::factual,medhallu,0,medhallu_1131,train
medhallu_1132::hallucinated,medhallu,1,medhallu_1132,test
medhallu_1132::factual,medhallu,0,medhallu_1132,test
medhallu_1133::hallucinated,medhallu,1,medhallu_1133,train
medhallu_1133::factual,medhallu,0,medhallu_1133,train
medhallu_1134::hallucinated,medhallu,1,medhallu_1134,train
medhallu_1134::factual,medhallu,0,medhallu_1134,train
medhallu_1135::hallucinated,medhallu,1,medhallu_1135,dev
medhallu_1135::factual,medhallu,0,medhallu_1135,dev
medhallu_1136::hallucinated,medhallu,1,medhallu_1136,dev
medhallu_1136::factual,medhallu,0,medhallu_1136,dev
medhallu_1137::hallucinated,medhallu,1,medhallu_1137,train
medhallu_1137::factual,medhallu,0,medhallu_1137,train
medhallu_1138::hallucinated,medhallu,1,medhallu_1138,train
medhallu_1138::factual,medhallu,0,medhallu_1138,train
medhallu_1139::hallucinated,medhallu,1,medhallu_1139,test
medhallu_1139::factual,medhallu,0,medhallu_1139,test
medhallu_114::hallucinated,medhallu,1,medhallu_114,train
medhallu_114::factual,medhallu,0,medhallu_114,train
medhallu_1140::hallucinated,medhallu,1,medhallu_1140,train
medhallu_1140::factual,medhallu,0,medhallu_1140,train
medhallu_1141::hallucinated,medhallu,1,medhallu_1141,dev
medhallu_1141::factual,medhallu,0,medhallu_1141,dev
medhallu_1142::hallucinated,medhallu,1,medhallu_1142,train
medhallu_1142::factual,medhallu,0,medhallu_1142,train
medhallu_1143::hallucinated,medhallu,1,medhallu_1143,train
medhallu_1143::factual,medhallu,0,medhallu_1143,train
medhallu_1144::hallucinated,medhallu,1,medhallu_1144,train
medhallu_1144::factual,medhallu,0,medhallu_1144,train
medhallu_1145::hallucinated,medhallu,1,medhallu_1145,dev
medhallu_1145::factual,medhallu,0,medhallu_1145,dev
medhallu_1146::hallucinated,medhallu,1,medhallu_1146,train
medhallu_1146::factual,medhallu,0,medhallu_1146,train
medhallu_1147::hallucinated,medhallu,1,medhallu_1147,dev
medhallu_1147::factual,medhallu,0,medhallu_1147,dev
medhallu_1148::hallucinated,medhallu,1,medhallu_1148,train
medhallu_1148::factual,medhallu,0,medhallu_1148,train
medhallu_1149::hallucinated,medhallu,1,medhallu_1149,train
medhallu_1149::factual,medhallu,0,medhallu_1149,train
medhallu_115::hallucinated,medhallu,1,medhallu_115,test
medhallu_115::factual,medhallu,0,medhallu_115,test
medhallu_1150::hallucinated,medhallu,1,medhallu_1150,test
medhallu_1150::factual,medhallu,0,medhallu_1150,test
medhallu_1151::hallucinated,medhallu,1,medhallu_1151,train
medhallu_1151::factual,medhallu,0,medhallu_1151,train
medhallu_1152::hallucinated,medhallu,1,medhallu_1152,train
medhallu_1152::factual,medhallu,0,medhallu_1152,train
medhallu_1153::hallucinated,medhallu,1,medhallu_1153,dev
medhallu_1153::factual,medhallu,0,medhallu_1153,dev
medhallu_1154::hallucinated,medhallu,1,medhallu_1154,dev
medhallu_1154::factual,medhallu,0,medhallu_1154,dev
medhallu_1155::hallucinated,medhallu,1,medhallu_1155,train
medhallu_1155::factual,medhallu,0,medhallu_1155,train
medhallu_1156::hallucinated,medhallu,1,medhallu_1156,dev
medhallu_1156::factual,medhallu,0,medhallu_1156,dev
medhallu_1157::hallucinated,medhallu,1,medhallu_1157,test
medhallu_1157::factual,medhallu,0,medhallu_1157,test
medhallu_1158::hallucinated,medhallu,1,medhallu_1158,train
medhallu_1158::factual,medhallu,0,medhallu_1158,train
medhallu_1159::hallucinated,medhallu,1,medhallu_1159,dev
medhallu_1159::factual,medhallu,0,medhallu_1159,dev
medhallu_116::hallucinated,medhallu,1,medhallu_116,train
medhallu_116::factual,medhallu,0,medhallu_116,train
medhallu_1160::hallucinated,medhallu,1,medhallu_1160,test
medhallu_1160::factual,medhallu,0,medhallu_1160,test
medhallu_1161::hallucinated,medhallu,1,medhallu_1161,dev
medhallu_1161::factual,medhallu,0,medhallu_1161,dev
medhallu_1162::hallucinated,medhallu,1,medhallu_1162,train
medhallu_1162::factual,medhallu,0,medhallu_1162,train
medhallu_1163::hallucinated,medhallu,1,medhallu_1163,train
medhallu_1163::factual,medhallu,0,medhallu_1163,train
medhallu_1164::hallucinated,medhallu,1,medhallu_1164,train
medhallu_1164::factual,medhallu,0,medhallu_1164,train
medhallu_1165::hallucinated,medhallu,1,medhallu_1165,train
medhallu_1165::factual,medhallu,0,medhallu_1165,train
medhallu_1166::hallucinated,medhallu,1,medhallu_1166,train
medhallu_1166::factual,medhallu,0,medhallu_1166,train
medhallu_1167::hallucinated,medhallu,1,medhallu_1167,train
medhallu_1167::factual,medhallu,0,medhallu_1167,train
medhallu_1168::hallucinated,medhallu,1,medhallu_1168,train
medhallu_1168::factual,medhallu,0,medhallu_1168,train
medhallu_1169::hallucinated,medhallu,1,medhallu_1169,train
medhallu_1169::factual,medhallu,0,medhallu_1169,train
medhallu_117::hallucinated,medhallu,1,medhallu_117,train
medhallu_117::factual,medhallu,0,medhallu_117,train
medhallu_1170::hallucinated,medhallu,1,medhallu_1170,train
medhallu_1170::factual,medhallu,0,medhallu_1170,train
medhallu_1171::hallucinated,medhallu,1,medhallu_1171,test
medhallu_1171::factual,medhallu,0,medhallu_1171,test
medhallu_1172::hallucinated,medhallu,1,medhallu_1172,dev
medhallu_1172::factual,medhallu,0,medhallu_1172,dev
medhallu_1173::hallucinated,medhallu,1,medhallu_1173,test
medhallu_1173::factual,medhallu,0,medhallu_1173,test
medhallu_1174::hallucinated,medhallu,1,medhallu_1174,train
medhallu_1174::factual,medhallu,0,medhallu_1174,train
medhallu_1175::hallucinated,medhallu,1,medhallu_1175,dev
medhallu_1175::factual,medhallu,0,medhallu_1175,dev
medhallu_1176::hallucinated,medhallu,1,medhallu_1176,test
medhallu_1176::factual,medhallu,0,medhallu_1176,test
medhallu_1177::hallucinated,medhallu,1,medhallu_1177,train
medhallu_1177::factual,medhallu,0,medhallu_1177,train
medhallu_1178::hallucinated,medhallu,1,medhallu_1178,train
medhallu_1178::factual,medhallu,0,medhallu_1178,train
medhallu_1179::hallucinated,medhallu,1,medhallu_1179,train
medhallu_1179::factual,medhallu,0,medhallu_1179,train
medhallu_118::hallucinated,medhallu,1,medhallu_118,dev
medhallu_118::factual,medhallu,0,medhallu_118,dev
medhallu_1180::hallucinated,medhallu,1,medhallu_1180,train
medhallu_1180::factual,medhallu,0,medhallu_1180,train
medhallu_1181::hallucinated,medhallu,1,medhallu_1181,test
medhallu_1181::factual,medhallu,0,medhallu_1181,test
medhallu_1182::hallucinated,medhallu,1,medhallu_1182,train
medhallu_1182::factual,medhallu,0,medhallu_1182,train
medhallu_1183::hallucinated,medhallu,1,medhallu_1183,dev
medhallu_1183::factual,medhallu,0,medhallu_1183,dev
medhallu_1184::hallucinated,medhallu,1,medhallu_1184,train
medhallu_1184::factual,medhallu,0,medhallu_1184,train
medhallu_1185::hallucinated,medhallu,1,medhallu_1185,train
medhallu_1185::factual,medhallu,0,medhallu_1185,train
medhallu_1186::hallucinated,medhallu,1,medhallu_1186,train
medhallu_1186::factual,medhallu,0,medhallu_1186,train
medhallu_1187::hallucinated,medhallu,1,medhallu_1187,train
medhallu_1187::factual,medhallu,0,medhallu_1187,train
medhallu_1188::hallucinated,medhallu,1,medhallu_1188,test
medhallu_1188::factual,medhallu,0,medhallu_1188,test
medhallu_1189::hallucinated,medhallu,1,medhallu_1189,train
medhallu_1189::factual,medhallu,0,medhallu_1189,train
medhallu_119::hallucinated,medhallu,1,medhallu_119,train
medhallu_119::factual,medhallu,0,medhallu_119,train
medhallu_1190::hallucinated,medhallu,1,medhallu_1190,test
medhallu_1190::factual,medhallu,0,medhallu_1190,test
medhallu_1191::hallucinated,medhallu,1,medhallu_1191,train
medhallu_1191::factual,medhallu,0,medhallu_1191,train
medhallu_1192::hallucinated,medhallu,1,medhallu_1192,train
medhallu_1192::factual,medhallu,0,medhallu_1192,train
medhallu_1193::hallucinated,medhallu,1,medhallu_1193,train
medhallu_1193::factual,medhallu,0,medhallu_1193,train
medhallu_1194::hallucinated,medhallu,1,medhallu_1194,train
medhallu_1194::factual,medhallu,0,medhallu_1194,train
medhallu_1195::hallucinated,medhallu,1,medhallu_1195,train
medhallu_1195::factual,medhallu,0,medhallu_1195,train
medhallu_1196::hallucinated,medhallu,1,medhallu_1196,train
medhallu_1196::factual,medhallu,0,medhallu_1196,train
medhallu_1197::hallucinated,medhallu,1,medhallu_1197,train
medhallu_1197::factual,medhallu,0,medhallu_1197,train
medhallu_1198::hallucinated,medhallu,1,medhallu_1198,train
medhallu_1198::factual,medhallu,0,medhallu_1198,train
medhallu_1199::hallucinated,medhallu,1,medhallu_1199,dev
medhallu_1199::factual,medhallu,0,medhallu_1199,dev
medhallu_12::hallucinated,medhallu,1,medhallu_12,train
medhallu_12::factual,medhallu,0,medhallu_12,train
medhallu_120::hallucinated,medhallu,1,medhallu_120,dev
medhallu_120::factual,medhallu,0,medhallu_120,dev
medhallu_1200::hallucinated,medhallu,1,medhallu_1200,test
medhallu_1200::factual,medhallu,0,medhallu_1200,test
medhallu_1201::hallucinated,medhallu,1,medhallu_1201,train
medhallu_1201::factual,medhallu,0,medhallu_1201,train
medhallu_1202::hallucinated,medhallu,1,medhallu_1202,train
medhallu_1202::factual,medhallu,0,medhallu_1202,train
medhallu_1203::hallucinated,medhallu,1,medhallu_1203,train
medhallu_1203::factual,medhallu,0,medhallu_1203,train
medhallu_1204::hallucinated,medhallu,1,medhallu_1204,test
medhallu_1204::factual,medhallu,0,medhallu_1204,test
medhallu_1205::hallucinated,medhallu,1,medhallu_1205,test
medhallu_1205::factual,medhallu,0,medhallu_1205,test
medhallu_1206::hallucinated,medhallu,1,medhallu_1206,dev
medhallu_1206::factual,medhallu,0,medhallu_1206,dev
medhallu_1207::hallucinated,medhallu,1,medhallu_1207,test
medhallu_1207::factual,medhallu,0,medhallu_1207,test
medhallu_1208::hallucinated,medhallu,1,medhallu_1208,train
medhallu_1208::factual,medhallu,0,medhallu_1208,train
medhallu_1209::hallucinated,medhallu,1,medhallu_1209,test
medhallu_1209::factual,medhallu,0,medhallu_1209,test
medhallu_121::hallucinated,medhallu,1,medhallu_121,test
medhallu_121::factual,medhallu,0,medhallu_121,test
